Location.Name,Location,Type,Years,Male
Bear River,1,Lentic,3,1
Bear River,1,Lentic,3,1
Bear River,1,Lentic,3,1
Bear River,1,Lentic,3,1
Bear River,1,Lentic,5,1
Bear River,1,Lentic,4,0
Bear River,1,Lentic,4,1
Bear River,1,Lentic,4,1
Bear River,1,Lentic,3,1
Bear River,1,Lentic,3,1
Bear River,1,Lentic,3,0
Bear River,1,Lentic,5,1
Bear River,1,Lentic,2,1
Bear River,1,Lentic,3,1
Bear River,1,Lentic,3,0
Bear River,1,Lentic,3,1
Bear River,1,Lentic,3,1
Bear River,1,Lentic,2,1
Bear River,1,Lentic,2,1
Bear River,1,Lentic,3,1
Bear River,1,Lentic,3,1
Bear River,1,Lentic,3,1
Bear River,1,Lentic,2,1
Bear River,1,Lentic,3,1
Bear River,1,Lentic,5,1
Bear River,1,Lentic,2,1
Bear River,1,Lentic,3,1
Bear River,1,Lentic,3,1
Bear River,1,Lentic,3,1
Bear River,1,Lentic,3,0
Bear River,1,Lentic,1,0
Carp River,2,Lentic,4,1
Carp River,2,Lentic,5,0
Carp River,2,Lentic,4,0
Carp River,2,Lentic,4,0
Carp River,2,Lentic,4,0
Carp River,2,Lentic,4,0
Carp River,2,Lentic,3,1
Carp River,2,Lentic,4,1
Carp River,2,Lentic,4,1
Carp River,2,Lentic,4,1
Carp River,2,Lentic,4,1
Carp River,2,Lentic,5,0
Carp River,2,Lentic,4,0
Carp River,2,Lentic,4,0
Carp River,2,Lentic,4,1
Carp River,2,Lentic,2,1
Carp River,2,Lentic,2,1
Carp River,2,Lentic,4,1
Carp River,2,Lentic,4,0
Carp River,2,Lentic,2,1
Carp River,2,Lentic,3,1
Carp River,2,Lentic,2,1
Carp River,2,Lentic,4,1
Carp River,2,Lentic,2,1
Carp River,2,Lentic,3,0
Carp River,2,Lentic,5,1
Carp River,2,Lentic,2,1
Carp River,2,Lentic,3,1
Carp River,2,Lentic,2,1
Carp River,2,Lentic,2,0
Carp River,2,Lentic,2,1
Carp River,2,Lentic,2,0
Carp River,2,Lentic,3,1
Carp River,2,Lentic,3,1
Carp River,2,Lentic,2,1
Carp River,2,Lentic,2,1
Carp River,2,Lentic,2,1
Carp River,2,Lentic,3,1
Carp River,2,Lentic,2,1
Carp River,2,Lentic,3,1
Carp River,2,Lentic,2,1
Carp River,2,Lentic,2,1
Carp River,2,Lentic,3,1
Carp River,2,Lentic,2,1
Carp River,2,Lentic,2,1
Carp River,2,Lentic,3,0
Carp River,2,Lentic,3,1
Carp River,2,Lentic,2,1
Carp River,2,Lentic,2,1
Carp River,2,Lentic,2,1
Carp River,2,Lentic,2,1
Carp River,2,Lentic,2,1
Carp River,2,Lentic,2,1
Carp River,2,Lentic,3,1
Carp River,2,Lentic,2,0
Carp River,2,Lentic,2,1
Carp River,2,Lentic,2,1
Carp River,2,Lentic,2,1
Carp River,2,Lentic,2,0
Carp River,2,Lentic,3,1
Carp River,2,Lentic,2,1
Carp River,2,Lentic,2,1
Carp River,2,Lentic,2,1
Carp River,2,Lentic,2,1
Carp River,2,Lentic,1,1
Carp River,2,Lentic,2,1
Carp River,2,Lentic,2,0
Carp River,2,Lentic,1,1
Carp River,2,Lentic,1,1
Carp River,2,Lentic,2,0
Carp River,2,Lentic,2,0
Carp River,2,Lentic,1,0
Carp River,2,Lentic,0,1
Carp River,2,Lentic,0,0
Carp River,2,Lentic,0,1
Carp River,2,Lentic,0,0
Hog Island,3,Lentic,4,0
Hog Island,3,Lentic,3,1
Hog Island,3,Lentic,3,1
Hog Island,3,Lentic,5,1
Hog Island,3,Lentic,3,0
Hog Island,3,Lentic,4,1
Hog Island,3,Lentic,4,1
Hog Island,3,Lentic,4,1
Hog Island,3,Lentic,3,1
Hog Island,3,Lentic,4,0
Hog Island,3,Lentic,4,1
Hog Island,3,Lentic,3,1
Hog Island,3,Lentic,3,1
Hog Island,3,Lentic,3,1
Hog Island,3,Lentic,5,1
Hog Island,3,Lentic,3,1
Hog Island,3,Lentic,2,1
Hog Island,3,Lentic,3,1
Hog Island,3,Lentic,4,1
Hog Island,3,Lentic,3,1
Hog Island,3,Lentic,3,0
Hog Island,3,Lentic,3,1
Hog Island,3,Lentic,3,1
Hog Island,3,Lentic,2,1
Hog Island,3,Lentic,3,1
Hog Island,3,Lentic,2,1
Hog Island,3,Lentic,3,0
Hog Island,3,Lentic,3,1
Hog Island,3,Lentic,3,1
Hog Island,3,Lentic,3,1
Hog Island,3,Lentic,2,1
Hog Island,3,Lentic,2,1
Hog Island,3,Lentic,4,1
Hog Island,3,Lentic,2,1
Hog Island,3,Lentic,2,1
Hog Island,3,Lentic,3,1
Hog Island,3,Lentic,2,1
Hog Island,3,Lentic,2,1
Hog Island,3,Lentic,2,1
Hog Island,3,Lentic,3,1
Hog Island,3,Lentic,2,1
Hog Island,3,Lentic,3,1
Hog Island,3,Lentic,3,1
Hog Island,3,Lentic,3,1
Hog Island,3,Lentic,2,1
Hog Island,3,Lentic,2,1
Hog Island,3,Lentic,3,1
Hog Island,3,Lentic,2,1
Hog Island,3,Lentic,4,1
Hog Island,3,Lentic,2,1
Hog Island,3,Lentic,2,1
Hog Island,3,Lentic,2,1
Hog Island,3,Lentic,3,1
Hog Island,3,Lentic,2,0
Hog Island,3,Lentic,2,1
Hog Island,3,Lentic,3,1
Hog Island,3,Lentic,3,0
Hog Island,3,Lentic,2,1
Hog Island,3,Lentic,2,1
Hog Island,3,Lentic,2,1
Hog Island,3,Lentic,2,0
Hog Island,3,Lentic,3,1
Hog Island,3,Lentic,1,0
Hog Island,3,Lentic,1,0
East AuGres River,4,River,3,0
East AuGres River,4,River,4,0
East AuGres River,4,River,4,0
East AuGres River,4,River,2,1
East AuGres River,4,River,2,1
East AuGres River,4,River,2,1
East AuGres River,4,River,3,1
East AuGres River,4,River,3,1
East AuGres River,4,River,3,1
East AuGres River,4,River,3,1
East AuGres River,4,River,3,1
East AuGres River,4,River,3,1
East AuGres River,4,River,3,1
East AuGres River,4,River,3,1
East AuGres River,4,River,3,1
East AuGres River,4,River,3,1
East AuGres River,4,River,3,1
East AuGres River,4,River,4,1
East AuGres River,4,River,4,1
East AuGres River,4,River,1,0
East AuGres River,4,River,2,0
East AuGres River,4,River,2,0
East AuGres River,4,River,3,0
East AuGres River,4,River,3,0
East AuGres River,4,River,3,0
East AuGres River,4,River,3,0
East AuGres River,4,River,2,1
East AuGres River,4,River,2,1
East AuGres River,4,River,2,1
East AuGres River,4,River,2,1
East AuGres River,4,River,2,1
East AuGres River,4,River,2,1
East AuGres River,4,River,2,1
East AuGres River,4,River,2,1
East AuGres River,4,River,2,1
East AuGres River,4,River,2,1
East AuGres River,4,River,2,1
East AuGres River,4,River,2,0
East AuGres River,4,River,2,0
East AuGres River,4,River,2,0
East AuGres River,4,River,2,0
East AuGres River,4,River,2,0
East AuGres River,4,River,2,0
East AuGres River,4,River,2,0
East AuGres River,4,River,2,0
East AuGres River,4,River,2,0
East AuGres River,4,River,2,0
East AuGres River,4,River,2,0
East AuGres River,4,River,2,0
East AuGres River,4,River,2,0
East AuGres River,4,River,2,0
East AuGres River,4,River,2,0
East AuGres River,4,River,1,1
East AuGres River,4,River,1,1
East AuGres River,4,River,1,1
East AuGres River,4,River,1,1
East AuGres River,4,River,2,1
East AuGres River,4,River,2,1
East AuGres River,4,River,2,1
East AuGres River,4,River,2,1
East AuGres River,4,River,2,1
East AuGres River,4,River,2,1
East AuGres River,4,River,2,1
East AuGres River,4,River,2,1
East AuGres River,4,River,2,1
East AuGres River,4,River,2,1
East AuGres River,4,River,2,1
East AuGres River,4,River,2,1
East AuGres River,4,River,2,1
East AuGres River,4,River,2,1
East AuGres River,4,River,2,1
East AuGres River,4,River,1,0
East AuGres River,4,River,2,1
East AuGres River,4,River,2,1
East AuGres River,4,River,1,1
East AuGres River,4,River,2,0
East AuGres River,4,River,2,0
East AuGres River,4,River,1,1
East AuGres River,4,River,1,1
East AuGres River,4,River,1,0
East AuGres River,4,River,1,1
East AuGres River,4,River,2,0
East AuGres River,4,River,1,0
East AuGres River,4,River,1,1
East AuGres River,4,River,1,1
East AuGres River,4,River,2,1
East AuGres River,4,River,1,1
East AuGres River,4,River,1,1
East AuGres River,4,River,1,1
East AuGres River,4,River,2,1
East AuGres River,4,River,1,0
East AuGres River,4,River,1,1
East AuGres River,4,River,1,0
East AuGres River,4,River,1,1
Ford River ,5,River,2,1
Ford River ,5,River,2,1
Ford River ,5,River,2,0
Ford River ,5,River,2,0
Ford River ,5,River,2,1
Ford River ,5,River,2,1
Ford River ,5,River,2,1
Ford River ,5,River,2,1
Ford River ,5,River,2,1
Ford River ,5,River,2,1
Ford River ,5,River,2,1
Ford River ,5,River,2,1
Ford River ,5,River,2,1
Ford River ,5,River,2,0
Ford River ,5,River,2,0
Ford River ,5,River,2,0
Ford River ,5,River,1,1
Ford River ,5,River,1,1
Ford River ,5,River,1,1
Ford River ,5,River,1,1
Ford River ,5,River,1,1
Ford River ,5,River,2,1
Ford River ,5,River,2,1
